Kuerzel;Sektor;Industry;Scan;Set-Up;Tag des Ausbruchs;Entry;$ Tag 1;$ Tag 1 Low;$ Tag 2;$ Tag 2 Low;$ Tag 2 High;$ Tag 3;$ Tag 3 Low;$ Tag 3 High;$ Tag 4;$ Tag 4 Low;$ Tag 4 High;$ Tag 5;$ Tag 5 Low;$ Tag 5 High;VIX CBOE 1-day;Move 1 day;Move 2 day;Move 3 day;Move 4 day;Move 5 day
VFC;Consumer Cyclcial;Apparel Manufacturing;Bidback;Consolidation;10.01.25;22,12 €;23,01 €;21,94 €;23,08 €;22,83 €;23,42 €;23,00 €;22,98 €;23,87 €;23,65 €;22,86 €;23,72 €;23,67 €;23,51 €;24,00 €;16,41;4,02%;4,34%;3,98%;6,92%;7,01%
TALO;Energy;Oil & Gas E&P;Bidback;Continuation;10.01.25;10,45 €;10,66 €;10,44 €;10,59 €;10,39 €;10,68 €;10,78 €;10,57 €;10,81 €;11,01 €;10,75 €;11,12 €;10,90 €;10,63 €;11,01 €;16,41;2,01%;1,34%;3,16%;5,36%;4,31%
TMCI;Healthcare;Medical Devices;Bidback;Continuation;13.01.25;8,04 €;8,01 €;7,74 €;8,47 €;8,22 €;8,64 €;8,25 €;8,16 €;8,47 €;8,71 €;8,23 €;8,86 €;9,27 €;8,68 €;9,28 €;16,82;-0,37%;5,35%;2,61%;8,33%;15,30%
SIBN;Healthcare;Medical Devices;Bidback;Continuation;13.01.25;15,48 €;15,70 €;15,20 €;16,47 €;15,28 €;15,64 €;16,92 €;15,40 €;15,86 €;16,69 €;15,41 €;15,89 €;17,29 €;15,46 €;15,64 €;16,82;1,42%;6,40%;9,30%;7,82%;11,69%
PHUN;Technology;Software - Application;Bidback;Consolidation;13.01.25;5,44 €;5,36 €;5,28 €;5,66 €;5,36 €;5,70 €;5,57 €;5,44 €;6,00 €;5,37 €;5,30 €;5,80 €;4,77 €;4,53 €;5,18 €;16,82;-1,47%;4,04%;2,39%;-1,29%;-12,32%
KOD;Healthcare;Biotech;Bidback;Pullback something;15.01.25;8,17 €;7,64 €;7,58 €;7,17 €;7,16 €;7,84 €;7,50 €;6,97 €;7,54 €;8,06 €;7,50 €;8,17 €;8,31 €;7,78 €;8,40 €;13,63;-6,49%;-12,24%;-8,20%;-1,35%;1,71%
IMVT;Healthcare;Biotech;Bidback;Bottom Bounce;15.01.25;23,69 €;23,80 €;23,41 €;23,86 €;23,50 €;24,74 €;23,59 €;23,10 €;24,42 €;23,23 €;23,19 €;24,11 €;23,40 €;23,04 €;23,74 €;13,63;0,46%;0,72%;-0,42%;-1,94%;-1,22%
ADPT;Healthcare;Biotech;Bidback;Consolidation;15.01.25;6,80 €;6,92 €;6,51 €;6,81 €;6,65 €;7,07 €;7,45 €;6,95 €;7,50 €;8,01 €;7,31 €;8,33 €;8,13 €;7,65 €;8,23 €;13,63;1,76%;0,15%;9,56%;17,79%;19,56%
LX;Financial;Creadit Services;Bidback;Continuation;17.01.25;6,62 €;6,55 €;6,16 €;6,68 €;6,08 €;6,48 €;6,58 €;6,09 €;6,38 €;7,63 €;6,42 €;7,29 €;7,52 €;6,89 €;7,40 €;14,89;-1,06%;0,91%;-0,60%;15,26%;13,60%
TIGR;Financial;Capital Markets;Bidback;Continuation;17.01.25;6,56 €;6,45 €;6,36 €;6,53 €;6,34 €;6,66 €;6,91 €;6,45 €;7,08 €;7,07 €;6,88 €;7,23 €;6,62 €;6,57 €;6,96 €;14,89;-1,68%;-0,46%;5,34%;7,77%;0,91%
ADSE;Technology;Electric Components;Bidback;Continuation;17.01.25;15,39 €;15,61 €;15,34 €;15,52 €;14,81 €;15,82 €;15,65 €;14,92 €;15,65 €;15,63 €;15,30 €;15,93 €;15,50 €;15,10 €;15,86 €;14,89;1,43%;0,84%;1,69%;1,56%;0,71%
CBRL;Consumer Cyclicals;Restaurants;Bidback;Consolidation;21.01.25;61,01 €;60,31 €;59,90 €;59,70 €;57,88 €;60,10 €;60,11 €;59,03 €;61,52 €;61,70 €;60,20 €;63,89 €;62,67 €;60,75 €;63,24 €;10,46;-1,15%;-2,15%;-1,48%;1,13%;2,72%
DFIN;Financial;Capital Markets;Bidback;Continuation;21.01.25;65,30 €;65,36 €;64,73 €;66,55 €;64,99 €;67,10 €;66,94 €;65,55 €;67,46 €;66,80 €;66,28 €;67,49 €;66,83 €;66,67 €;67,35 €;10,46;0,09%;1,91%;2,51%;2,30%;2,34%
SKX;Consumer Cyclicals;Footwear & Accessories;Bidback;Consolidation;21.01.25;72,95 €;73,46 €;72,83 €;75,61 €;72,25 €;76,06 €;75,94 €;75,19 €;76,67 €;75,04 €;74,21 €;75,67 €;76,78 €;75,15 €;76,90 €;10,46;0,70%;3,65%;4,10%;2,86%;5,25%
GM;Consumer Cyclicals;Auto Manufacturers;Bidback;Continuation;21.01.25;53,42 €;53,39 €;52,43 €;54,22 €;52,74 €;54,35 €;53,91 €;53,71 €;54,60 €;54,92 €;54,08 €;55,06 €;;;;10,46;-0,06%;1,50%;0,92%;2,81%;-100,00%
RKLB;Industrials;Aerospace & Defence;Bidback;Consolidation;21.01.25;29,77 €;29,62 €;28,44 €;31,57 €;28,51 €;31,75 €;30,36 €;30,20 €;33,34 €;29,43 €;28,48 €;30,23 €;28,98 €;27,85 €;30,49 €;10,46;-0,50%;6,05%;1,98%;-1,14%;-2,65%
TBPH;Healthcare;Biotech;Bidback;Bottom Bounce;21.01.25;9,04 €;9,36 €;8,94 €;9,67 €;9,24 €;9,68 €;10,47 €;9,62 €;10,90 €;9,67 €;9,62 €;10,46 €;9,83 €;9,60 €;9,88 €;10,46;3,54%;6,97%;15,82%;6,97%;8,74%
WKEY;Technology;Semiconductor;Bidback;Consolidation;21.01.25;9,65 €;8,83 €;8,50 €;8,14 €;8,00 €;9,06 €;8,37 €;8,25 €;10,09 €;7,89 €;7,59 €;8,45 €;7,54 €;7,51 €;8,12 €;10,46;-8,50%;-15,65%;-13,26%;-18,24%;-21,87%
EWCZ;Consumer Defensive;Household & Personal Products;Bidback;Consolidation;21.01.25;6,71 €;6,73 €;6,80 €;6,71 €;6,52 €;6,78 €;6,71 €;6,61 €;6,84 €;6,87 €;6,66 €;7,01 €;6,90 €;6,85 €;7,15 €;10,46;0,30%;0,00%;0,00%;2,38%;2,83%
