Kuerzel;Sektor;Industry;Scan;Set-Up;Tag des Ausbruchs;Entry;$ Tag 1;$ Tag 1 Low;$ Tag 2;$ Tag 2 Low;$ Tag 2 High;$ Tag 3;$ Tag 3 Low;$ Tag 3 High;$ Tag 4;$ Tag 4 Low;$ Tag 4 High;$ Tag 5;$ Tag 5 Low;$ Tag 5 High;VIX CBOE 1-day;Move 1 day;Move 2 day;Move 3 day;Move 4 day;Move 5 day
INTR;Financial;Banks - Regional;Bidback;Earning;06.02.25;5,46 €;5,32 €;5,25 €;5,51 €;5,34 €;5,56 €;5,25 €;5,24 €;5,61 €;5,27 €;5,05 €;5,31 €;5,37 €;5,24 €;5,39 €;15,75;-2,56%;0,92%;-3,85%;-3,48%;-1,65%
AFRM;Technology;Software - Infrastructure;Bidback;Earning;07.02.25;73,12 €;77,75 €;72,93 €;78,02 €;75,78 €;79,04 €;75,66 €;74,50 €;77,00 €;79,28 €;75,29 €;79,59 €;80,69 €;78,06 €;80,72 €;16,15;6,33%;6,70%;3,47%;8,42%;10,35%
LTBR;Technology;Electric Components;Bidback;Continuation;07.02.25;11,02 €;11,67 €;11,01 €;10,84 €;10,57 €;12,28 €;14,60 €;10,31 €;14,66 €;15,19 €;13,29 €;15,19 €;13,56 €;13,38 €;16,90 €;16,15;5,90%;-1,63%;32,49%;37,84%;23,05%
LNW;Consumer Cyclicals;Gambling;Bidback;Gap up Breakout;10.02.25;96,10 €;94,36 €;93,59 €;94,48 €;93,47 €;95,11 €;97,81 €;94,88 €;97,95 €;97,02 €;96,48 €;98,40 €;101,64 €;98,24 €;101,85 €;11,29;-1,81%;-1,69%;1,78%;0,96%;5,76%
VAL;Energy;Oil & Gas Equipment;Bidback;Consolidation;10.02.25;47,12 €;47,30 €;46,89 €;46,09 €;45,62 €;46,80 €;45,71 €;45,10 €;46,50 €;44,51 €;44,16 €;46,76 €;44,80 €;42,91 €;45,24 €;11,29;0,38%;-2,19%;-2,99%;-5,54%;-4,92%
RKLB;Industrials;Aerospace & Defence;Bidback;Consolidation;10.02.25;29,30 €;28,22 €;28,08 €;27,62 €;27,40 €;28,58 €;28,30 €;27,01 €;28,38 €;28,02 €;27,04 €;28,65 €;27,74 €;27,39 €;29,79 €;11,29;-3,69%;-5,73%;-3,41%;-4,37%;-5,32%
COCO;Consumer Defensive;Beverages;Bidback;Consolidation;10.02.25;38,69 €;39,42 €;38,31 €;39,78 €;38,84 €;40,13 €;40,30 €;39,12 €;40,32 €;39,97 €;39,60 €;40,30 €;39,11 €;38,68 €;39,89 €;11,29;1,89%;2,82%;4,16%;3,31%;1,09%
GME;Consumer Cyclicals;Specialty Retail;Bidback;Bottom Bounce;10.02.25;26,57 €;26,56 €;26,47 €;25,99 €;25,60 €;26,40 €;26,34 €;25,75 €;26,40 €;27,00 €;26,90 €;28,97 €;26,97 €;26,66 €;27,59 €;11,29;-0,04%;-2,18%;-0,87%;1,62%;1,51%
ACHR;Industrials;Aerospace & Defence;Bidback;Consolidation;10.02.25;9,50 €;9,29 €;9,15 €;9,36 €;9,13 €;9,71 €;9,52 €;9,21 €;10,30 €;10,35 €;9,42 €;10,40 €;10,67 €;10,51 €;11,84 €;11,29;-2,21%;-1,47%;0,21%;8,95%;12,32%
LUCK;Consumer Cyclicals;Leisure;Bidback;Continuation;10.02.25;11,60 €;11,79 €;11,30 €;12,91 €;11,76 €;13,24 €;12,79 €;12,63 €;13,25 €;12,28 €;11,83 €;12,91 €;11,54 €;11,54 €;12,34 €;11,29;1,64%;11,29%;10,26%;5,86%;-0,52%
DAO;Consumer Defensive;Education & Training Services;Bidback;Continuation;10.02.25;10,06 €;8,99 €;8,91 €;9,31 €;9,06 €;10,15 €;9,77 €;8,89 €;10,14 €;10,27 €;9,52 €;10,75 €;11,09 €;10,23 €;11,32 €;11,29;-10,64%;-7,46%;-2,88%;2,09%;10,24%
IRBT;Consumer Cyclicals;Home Furnishings & Fixtures;Bidback;Bottom Bounce;10.02.25;8,83 €;9,63 €;8,83 €;9,12 €;8,61 €;9,52 €;9,34 €;8,90 €;9,44 €;9,49 €;9,20 €;10,10 €;10,44 €;9,03 €;10,56 €;11,29;9,06%;3,28%;5,78%;7,47%;18,23%
AAMI;Financial;Asset Management;Bidback;Continuation;11.02.25;25,74 €;25,20 €;24,94 €;25,63 €;25,15 €;25,66 €;25,69 €;25,48 €;25,79 €;26,32 €;25,51 €;26,37 €;26,23 €;25,96 €;26,42 €;14,07;-2,10%;-0,43%;-0,19%;2,25%;1,90%
CASH;Financial;Banks - Regional;Bidback;Continuation;11.02.25;79,99 €;78,79 €;78,65 €;80,25 €;78,49 €;80,29 €;80,25 €;79,55 €;81,17 €;81,54 €;80,27 €;81,78 €;81,11 €;80,68 €;81,78 €;14,07;-1,50%;0,33%;0,33%;1,94%;1,40%
CWT;Utilities;Regulated Water;Bidback;Continuation;11.02.25;44,68 €;45,26 €;44,65 €;45,55 €;45,03 €;45,68 €;44,93 €;44,62 €;45,99 €;45,89 €;44,85 €;46,08 €;45,46 €;45,35 €;45,89 €;14,07;1,30%;1,95%;0,56%;2,71%;1,75%
MRC;Energy;Oil & Gas Equipment;Bidback;Bottom Bounce;11.02.25;13,11 €;12,84 €;12,55 €;13,09 €;12,84 €;13,19 €;13,46 €;13,10 €;13,48 €;13,05 €;13,05 €;13,43 €;12,81 €;12,69 €;13,03 €;14,07;-2,06%;-0,15%;2,67%;-0,46%;-2,29%
PZZA;Consumer Cyclicals;Restaurants;Bidback;Continuation;11.02.25;41,00 €;43,31 €;40,70 €;51,28 €;43,42 €;54,40 €;49,04 €;48,67 €;52,71 €;51,08 €;49,38 €;51,87 €;49,05 €;48,11 €;50,93 €;14,07;5,63%;25,07%;19,61%;24,59%;19,63%
CFLT;Technology;Software - Infrastructure;Bidback;Earning;12.02.25;35,94 €;36,23 €;35,00 €;34,85 €;34,81 €;36,25 €;34,94 €;34,36 €;35,76 €;33,23 €;33,18 €;34,81 €;32,54 €;31,43 €;33,23 €;12,75;0,81%;-3,03%;-2,78%;-7,54%;-9,46%
LTBR;Technology;Electric Components;Bidback;Continuation;12.02.25;13,30 €;15,19 €;13,29 €;13,56 €;13,38 €;16,90 €;13,48 €;12,82 €;15,58 €;12,97 €;12,65 €;14,38 €;12,47 €;11,81 €;12,86 €;12,75;14,21%;1,95%;1,35%;-2,48%;-6,24%
MT ;Basic;Steel;Bidback;Continuation;12.02.25;28,80 €;27,71 €;28,36 €;28,57 €;28,42 €;28,98 €;28,89 €;28,78 €;29,21 €;28,12 €;28,03 €;28,42 €;28,00 €;27,86 €;28,49 €;12,75;-3,78%;-0,80%;0,31%;-2,36%;-2,78%
YOU;Technology;Software - Application;Bidback;Bottom Bounce;12.02.25;23,80 €;23,98 €;23,76 €;22,54 €;22,54 €;23,94 €;22,95 €;22,30 €;23,18 €;22,12 €;22,00 €;23,12 €;22,39 €;21,67 €;22,44 €;12,75;0,76%;-5,29%;-3,57%;-7,06%;-5,92%
DOMH;Healthcare;Biotech;Bidback;Pullback something;13.02.25;9,06 €;11,94 €;8,65 €;10,24 €;8,25 €;10,79 €;11,62 €;9,34 €;12,00 €;9,91 €;9,27 €;11,30 €;8,20 €;8,12 €;10,39 €;10,98;31,79%;13,02%;28,26%;9,38%;-9,49%
LX;Financial;Credit Services;Bidback;Consolidation;13.02.25;8,45 €;8,20 €;8,12 €;8,73 €;8,31 €;8,77 €;8,72 €;8,57 €;9,09 €;8,94 €;8,70 €;9,47 €;9,36 €;8,81 €;9,61 €;10,98;-2,96%;3,31%;3,20%;5,80%;10,77%
STGW;Consumer Cyclicals;Advertising Agencies;Bidback;Consolidation;13.02.25;6,53 €;6,50 €;6,49 €;6,44 €;6,41 €;6,57 €;6,21 €;6,12 €;6,34 €;6,15 €;6,03 €;6,20 €;6,30 €;6,29 €;6,71 €;10,98;-0,46%;-1,38%;-4,90%;-5,82%;-3,52%
ELP;Utilities;Diversified;Bidback;Continuation;14.02.25;7,12 €;7,17 €;7,12 €;7,08 €;7,05 €;7,16 €;7,13 €;7,07 €;7,16 €;7,10 €;7,05 €;7,16 €;6,95 €;6,94 €;7,19 €;11,82;0,70%;-0,56%;0,14%;-0,28%;-2,39%
AXL;Consumer Cyclicals;Auto Parts;Bidback;Continuation;18.02.25;5,72 €;5,85 €;5,65 €;5,88 €;5,68 €;5,91 €;5,60 €;5,60 €;5,98 €;5,43 €;5,36 €;5,59 €;5,25 €;5,14 €;5,49 €;9,31;2,27%;2,80%;-2,10%;-5,07%;-8,22%
INTC;Technology;Semiconductor;Bidback;Continuation;18.02.25;25,64 €;25,72 €;25,46 €;26,09 €;24,48 €;26,12 €;24,87 €;24,84 €;26,29 €;24,27 €;23,62 €;24,80 €;22,99 €;22,77 €;24,28 €;9,31;0,31%;1,76%;-3,00%;-5,34%;-10,34%
CELC;Healthcare;Biotech;Bidback;Continuation;19.02.25;12,86 €;13,13 €;12,55 €;13,15 €;12,97 €;13,43 €;11,18 €;11,12 €;13,18 €;10,18 €;10,17 €;11,19 €;9,82 €;9,59 €;10,56 €;9,32;2,10%;2,26%;-13,06%;-20,84%;-23,64%
CMPR;Consumer Cyclicals;Advertising Agencies;Bidback;Bottom Bounce;20.02.25;49,58 €;50,10 €;49,22 €;49,76 €;49,22 €;52,78 €;52,02 €;49,37 €;52,74 €;49,94 €;46,06 €;49,76 €;47,93 €;46,86 €;48,38 €;11,20;1,05%;0,36%;4,92%;0,73%;-3,33%
EQX;Basic;Gold;Bidback;Earning;20.02.25;7,05 €;6,82 €;6,38 €;6,80 €;6,80 €;7,09 €;6,48 €;6,58 €;6,93 €;6,39 €;6,41 €;6,82 €;6,26 €;6,34 €;6,49 €;11,20;-3,26%;-3,55%;-8,09%;-9,36%;-11,21%
MD;Healthcare;Medical Care;Bidback;Earning;20.02.25;16,50 €;15,61 €;15,46 €;15,68 €;15,44 €;15,99 €;15,40 €;15,19 €;15,75 €;15,00 €;14,93 €;15,67 €;15,06 €;14,95 €;15,82 €;11,20;-5,39%;-4,97%;-6,67%;-9,09%;-8,73%
MNDR;Technology;Health Information Services;Bidback;Gap up Breakout;20.02.25;4,58 €;4,04 €;3,73 €;3,59 €;3,44 €;4,72 €;3,52 €;3,16 €;3,65 €;3,69 €;3,45 €;4,45 €;3,67 €;3,49 €;4,16 €;11,20;-11,79%;-21,62%;-23,14%;-19,43%;-19,87%
PDFS;Technology;Software - Application;Bidback;Bottom Bounce;20.02.25;23,08 €;23,01 €;22,47 €;22,46 €;22,36 €;23,20 €;21,97 €;21,90 €;22,46 €;23,67 €;23,03 €;24,04 €;22,31 €;22,26 €;23,83 €;11,20;-0,30%;-2,69%;-4,81%;2,56%;-3,34%
SWBI;Industrials;Aerospace & Defence;Bidback;Consolidation;20.02.25;10,89 €;10,96 €;10,87 €;10,76 €;10,74 €;10,99 €;11,08 €;10,80 €;11,08 €;10,86 €;10,82 €;11,15 €;10,77 €;10,73 €;10,83 €;11,20;0,64%;-1,19%;1,74%;-0,28%;-1,10%
KOF;Consumer Defensive;Beverages;Bidback;Earning;21.02.25;87,37 €;88,34 €;86,61 €;87,73 €;87,01 €;89,37 €;86,59 €;86,38 €;88,13 €;88,84 €;86,19 €;89,31 €;89,14 €;87,60 €;89,50 €;18,16;1,11%;0,41%;-0,89%;1,68%;2,03%
VICR;Technology;Electric Components;Bidback;Earning ;21.02.25;60,76 €;60,35 €;59,81 €;60,44 €;54,90 €;62,13 €;64,71 €;61,90 €;65,70 €;61,68 €;61,39 €;65,07 €;63,33 €;60,56 €;63,68 €;18,16;-0,67%;-0,53%;6,50%;1,51%;4,23%
QTRX;Healthcare;Medical Devices;Bidback;Bottom Bounce;24.02.25;7,91 €;7,89 €;7,60 €;8,01 €;7,79 €;8,13 €;7,48 €;7,47 €;8,02 €;7,59 €;7,30 €;7,74 €;7,09 €;7,08 €;7,98 €;15,10;-0,25%;1,26%;-5,44%;-4,05%;-10,37%
AXGN;Healthcare;Medical Devices;Bidback;Earning;25.02.25;19,78 €;19,46 €;19,28 €;19,43 €;18,69 €;19,64 €;20,01 €;19,20 €;20,06 €;19,29 €;18,76 €;20,39 €;18,62 €;17,84 €;19,08 €;14,62;-1,62%;-1,77%;1,16%;-2,48%;-5,86%
IART;Healthcare;Medical Devices;Bidback;Earning;25.02.25;24,37 €;23,60 €;23,46 €;23,06 €;22,80 €;23,50 €;23,21 €;22,43 €;23,25 €;22,48 €;22,44 €;23,56 €;21,91 €;21,67 €;22,35 €;14,62;-3,16%;-5,38%;-4,76%;-7,76%;-10,09%
CCU;Consumer Defensive;Beverages;Bidback;Earning;26.02.25;13,61 €;13,88 €;13,61 €;13,95 €;13,82 €;14,10 €;13,92 €;13,82 €;14,10 €;14,09 €;13,70 €;14,13 €;14,57 €;14,20 €;14,60 €;20,49;1,98%;2,50%;2,28%;3,53%;7,05%
ARIS;Utilities;Regulated Water;Bidback;Earning;27.02.25;29,57 €;31,46 €;29,19 €;30,25 €;29,94 €;32,56 €;28,77 €;27,88 €;29,48 €;28,73 €;27,55 €;28,74 €;26,56 €;26,10 €;28,40 €;19,54;6,39%;2,30%;-2,71%;-2,84%;-10,18%
COYA;Healthcare;Biotech;Bidback;Bottom Bounce;27.02.25;6,37 €;7,08 €;6,31 €;7,40 €;7,03 €;8,29 €;6,79 €;6,77 €;7,86 €;6,52 €;6,47 €;6,87 €;6,29 €;6,27 €;6,72 €;19,54;11,15%;16,17%;6,59%;2,35%;-1,26%
MEG;Industrials;Waste Management;Bidback;Earning;27.02.25;21,99 €;19,43 €;18,95 €;19,87 €;19,28 €;20,70 €;18,65 €;17,92 €;19,94 €;19,90 €;18,64 €;19,98 €;17,95 €;17,90 €;19,80 €;19,54;-11,64%;-9,64%;-15,19%;-9,50%;-18,37%
BCSF;Financial;Asset Management;Bidback;Earning;28.02.25;18,74 €;18,60 €;18,56 €;17,96 €;17,86 €;18,58 €;17,66 €;17,31 €;17,93 €;17,30 €;17,21 €;17,62 €;17,56 €;17,30 €;17,72 €;18,67;-0,75%;-4,16%;-5,76%;-7,68%;-6,30%
CODI;Industrials;Conglomerats;Bidback;Earning;28.02.25;21,50 €;21,30 €;21,25 €;20,43 €;20,40 €;21,00 €;20,30 €;20,14 €;20,62 €;20,19 €;19,91 €;20,28 €;19,86 €;19,82 €;20,17 €;18,67;-0,93%;-4,98%;-5,58%;-6,09%;-7,63%
KALV;Healthcare;Biotech;Bidback;Continuation;28.02.25;11,00 €;10,87 €;10,71 €;11,27 €;10,53 €;11,52 €;11,61 €;11,00 €;11,63 €;11,98 €;11,42 €;12,05 €;11,92 €;11,74 €;12,19 €;18,67;-1,18%;2,45%;5,55%;8,91%;8,36%
SKWD;Financial;Insurance - Property & Casualty;Bidback;Continuation;03.03.25;52,51 €;52,79 €;51,62 €;52,09 €;51,37 €;53,22 €;49,59 €;49,51 €;51,74 €;48,03 €;47,17 €;50,00 €;47,26 €;46,69 €;48,39 €;21,75;0,53%;-0,80%;-5,56%;-8,53%;-10,00%
BF.B;Consumer Defensive;Beverages;Bidback;Gap up Breakout;05.03.25;34,65 €;35,78 €;34,27 €;36,93 €;35,42 €;37,32 €;37,96 €;37,00 €;38,85 €;36,03 €;35,61 €;37,96 €;34,20 €;33,33 €;35,35 €;22,11;3,26%;6,58%;9,55%;3,98%;-1,30%
BKD;Healthcare;Medical Care;Bidback;Continuation;05.03.25;5,79 €;5,81 €;5,72 €;5,75 €;5,67 €;5,91 €;5,49 €;5,43 €;5,72 €;5,63 €;5,43 €;5,69 €;5,69 €;5,51 €;5,82 €;22,11;0,35%;-0,69%;-5,18%;-2,76%;-1,73%
MP;Basic;Industrial Metals & Minerals;Bidback;Gap up Breakout;05.03.25;24,61 €;24,40 €;24,01 €;24,98 €;23,60 €;25,16 €;24,42 €;24,16 €;25,65 €;24,01 €;23,64 €;25,55 €;24,34 €;23,16 €;24,73 €;22,11;-0,85%;1,50%;-0,77%;-2,44%;-1,10%
PRO;Technology;Software - Application;Bidback;Reversal;05.03.25;24,61 €;24,07 €;23,90 €;22,79 €;22,00 €;24,10 €;21,85 €;21,52 €;22,61 €;21,20 €;20,97 €;22,12 €;21,18 €;21,00 €;21,67 €;22,11;-2,19%;-7,40%;-11,21%;-13,86%;-13,94%
TTGT;Technology;Internet Content & Information;Bidback;Bottom Bounce;05.03.25;14,04 €;14,08 €;13,69 €;14,51 €;13,54 €;14,56 €;13,63 €;13,49 €;14,38 €;13,62 €;13,18 €;13,91 €;13,46 €;13,31 €;13,81 €;22,11;0,28%;3,35%;-2,92%;-2,99%;-4,13%
AMTM;Technology;Software - Application;Bidback;Bottom Bounce;07.03.25;19,04 €;18,56 €;18,44 €;17,04 €;16,95 €;18,77 €;18,42 €;17,73 €;18,54 €;17,87 €;17,30 €;18,50 €;17,90 €;17,80 €;18,52 €;24,66;-2,52%;-10,50%;-3,26%;-6,14%;-5,99%
METC;Basic;Coal;Bidback;Earning;11.03.25;10,78 €;8,86 €;8,80 €;9,62 €;8,78 €;9,71 €;9,56 €;9,22 €;9,71 €;9,25 €;9,09 €;9,75 €;9,67 €;9,15 €;9,68 €;30,12;-17,81%;-10,76%;-11,32%;-14,19%;-10,30%
ZK;Consumer Cyclicals;Auto Manufacturers;Bidback;Continuation;11.03.25;30,45 €;30,84 €;29,94 €;29,75 €;29,19 €;30,90 €;31,23 €;30,31 €;31,59 €;30,08 €;28,50 €;31,25 €;28,74 €;28,09 €;30,46 €;30,12;1,28%;-2,30%;2,56%;-1,22%;-5,62%
CDRE;Industrials;Aerospace & Defence;Bidback;Earning;12.03.25;33,80 €;34,91 €;33,64 €;33,72 €;33,04 €;35,38 €;32,43 €;32,03 €;33,69 €;32,33 €;31,93 €;32,59 €;32,36 €;31,37 €;32,61 €;23,19;3,28%;-0,24%;-4,05%;-4,35%;-4,26%
ICON;Industrials;Shipping & Ports;Bidback;Bottom Bounce;13.03.25;4,22 €;4,39 €;4,22 €;4,32 €;4,00 €;4,66 €;4,24 €;4,00 €;4,48 €;4,20 €;3,82 €;4,24 €;3,96 €;3,72 €;4,03 €;23,38;4,03%;2,37%;0,47%;-0,47%;-6,16%
ALT;Healthcare;Biotech;Bidback;Bottom Bounce;14.03.25;5,58 €;5,97 €;5,45 €;5,61 €;5,48 €;5,89 €;5,81 €;5,55 €;5,88 €;5,78 €;5,64 €;5,87 €;5,81 €;5,60 €;5,87 €;21,42;6,99%;0,54%;4,12%;3,58%;4,12%
KINS;Financial;Insurance - Property & Casualty;Bidback;Earning;14.03.25;15,90 €;15,46 €;14,82 €;15,05 €;14,71 €;15,40 €;15,44 €;14,93 €;15,60 €;15,83 €;15,21 €;15,90 €;15,36 €;15,26 €;16,01 €;21,42;-2,77%;-5,35%;-2,89%;-0,44%;-3,40%
TSAT;Technology;Communication Equipment;Bidback;Continuation;14.03.25;22,75 €;23,39 €;22,50 €;22,95 €;21,79 €;23,65 €;22,09 €;21,62 €;23,24 €;21,54 €;20,60 €;22,49 €;20,89 €;20,87 €;22,50 €;21,42;2,81%;0,88%;-2,90%;-5,32%;-8,18%
IMCR;Healthcare;Biotech;Bidback;Bottom Bounce;17.03.25;29,80 €;28,38 €;28,07 €;28,71 €;28,07 €;29,21 €;30,43 €;29,21 €;31,64 €;29,81 €;29,22 €;30,97 €;29,64 €;29,09 €;30,00 €;16,35;-4,77%;-3,66%;2,11%;0,03%;-0,54%
KSPI;Technology;Software - Infrastructure;Bidback;Bottom Bounce;17.03.25;97,05 €;96,94 €;96,71 €;96,31 €;95,41 €;97,22 €;95,81 €;95,61 €;98,11 €;94,98 €;93,83 €;96,44 €;96,40 €;95,33 €;98,46 €;16,35;-0,11%;-0,76%;-1,28%;-2,13%;-0,67%
NPB;Financial;Banks - Regional;Bidback;Bottom Bounce;17.03.25;14,36 €;14,40 €;14,11 €;14,24 €;13,66 €;14,48 €;14,49 €;14,26 €;14,82 €;14,50 €;14,41 €;14,66 €;14,46 €;14,29 €;14,54 €;16,35;0,28%;-0,84%;0,91%;0,97%;0,70%
QMCO;Technology;Computer Systems;Bidback;Continuation;17.03.25;17,81 €;19,80 €;17,56 €;19,63 €;18,80 €;22,84 €;16,45 €;15,55 €;19,50 €;16,72 €;15,75 €;18,60 €;17,22 €;17,00 €;18,45 €;16,35;11,17%;10,22%;-7,64%;-6,12%;-3,31%
ZH;Technology;Internet Content & Information;Bidback;Choppy;17.03.25;5,07 €;5,09 €;5,01 €;5,05 €;4,95 €;5,11 €;4,47 €;4,45 €;5,01 €;4,83 €;4,52 €;4,87 €;4,70 €;4,61 €;4,93 €;16,35;0,39%;-0,39%;-11,83%;-4,73%;-7,30%
FLWS;Consumer Cyclicals;Specialty Retail;Bidback;Bottom Bounce;19.03.25;5,62 €;5,67 €;5,43 €;5,80 €;5,53 €;5,88 €;6,02 €;5,79 €;6,03 €;5,93 €;5,83 €;6,08 €;5,98 €;5,86 €;6,11 €;18,49;0,89%;3,20%;7,12%;5,52%;6,41%
CAPR;Healthcare;Biotech;Bidback;Earning;20.03.25;13,05 €;12,86 €;12,75 €;13,28 €;12,64 €;13,32 €;13,48 €;12,86 €;13,68 €;13,18 €;12,81 €;13,58 €;11,81 €;11,81 €;13,81 €;18,58;-1,46%;1,76%;3,30%;1,00%;-9,50%
ATNI;Communication Service;Telecom Services;Bidback;Continuation;21.03.25;22,34 €;21,76 €;21,48 €;20,91 €;20,89 €;22,28 €;21,12 €;21,00 €;21,59 €;21,93 €;20,94 €;22,23 €;21,24 €;21,09 €;21,95 €;16,66;-2,60%;-6,40%;-5,46%;-1,84%;-4,92%
EPWK;Technology;Software - Application;Bidback;Continuation;21.03.25;5,06 €;5,17 €;5,02 €;4,98 €;4,78 €;5,27 €;4,85 €;4,73 €;5,09 €;4,89 €;4,78 €;4,98 €;4,89 €;4,76 €;4,90 €;16,66;2,17%;-1,58%;-4,15%;-3,36%;-3,36%
NVCT;Healthcare;Biotech;Bidback;Continuation;21.03.25;9,75 €;9,81 €;9,52 €;8,68 €;8,68 €;9,94 €;8,75 €;8,45 €;9,10 €;9,65 €;8,65 €;9,90 €;10,46 €;9,38 €;10,47 €;16,66;0,62%;-10,97%;-10,26%;-1,03%;7,28%
CYRX;Industrials;Integrated Shipping & Logistics;Bidback;Gap up Breakout;24.03.25;6,72 €;6,24 €;6,21 €;6,22 €;6,02 €;6,30 €;6,24 €;6,03 €;6,60 €;6,09 €;5,89 €;6,20 €;6,08 €;5,98 €;7,00 €;12,99;-7,14%;-7,44%;-7,14%;-9,38%;-9,52%
ALC;Healthcare;Medical Instruments & Supplies;Bidback;Gap up Breakout;27.03.25;95,69 €;95,77 €;95,59 €;94,93 €;93,74 €;95,06 €;92,70 €;92,18 €;94,68 €;92,59 €;91,63 €;92,73 €;89,61 €;89,44 €;92,82 €;17,06;0,08%;-0,79%;-3,12%;-3,24%;-6,35%
CNXC;Technology;Information Technology Service;Bidback;Gap up Breakout;27.03.25;61,46 €;56,95 €;53,92 €;55,64 €;54,53 €;56,65 €;54,03 €;53,26 €;55,47 €;54,21 €;52,71 €;55,13 €;50,43 €;49,55 €;52,72 €;17,06;-7,34%;-9,47%;-12,09%;-11,80%;-17,95%
FOXA;Consumer Cyclicals;Media - Diversified;Bidback;Continuation;31.03.25;55,45 €;55,82 €;55,38 €;57,04 €;55,56 €;57,13 €;51,83 €;51,76 €;56,19 €;49,73 €;49,54 €;52,23 €;48,55 €;46,83 €;50,64 €;21,81;0,67%;2,87%;-6,53%;-10,32%;-12,44%
GRRR;Technology;Software - Infrastructure;Bidback;Consolidation;31.03.25;26,20 €;25,13 €;24,16 €;20,77 €;20,41 €;24,87 €;18,99 €;18,60 €;23,00 €;16,85 €;15,61 €;18,49 €;18,58 €;15,19 €;19,40 €;21,81;-4,08%;-20,73%;-27,52%;-35,69%;-29,08%
AMTM;Technology;Software - Application;Bidback;Bottom Bounce;02.04.25;18,98 €;18,30 €;18,20 €;17,47 €;16,90 €;17,86 €;16,96 €;16,14 €;17,79 €;16,43 €;16,14 €;17,91 €;18,01 €;16,01 €;18,32 €;26,68;-3,58%;-7,96%;-10,64%;-13,44%;-5,11%
KBR;Industrials;Engineering & Construction;Bidback;Bottom Bounce;02.04.25;51,90 €;51,30 €;51,28 €;47,54 €;47,51 €;49,83 €;46,20 €;43,89 €;47,60 €;46,75 €;46,26 €;48,59 €;50,52 €;45,66 €;50,88 €;26,68;-1,16%;-8,40%;-10,98%;-9,92%;-2,66%
SMG;Basic;Agricultural Inputs;Bidback;Bottom Bounce;02.04.25;55,26 €;53,16 €;54,92 €;51,41 €;52,84 €;55,26 €;52,42 €;49,39 €;52,56 €;48,21 €;49,66 €;54,68 €;52,59 €;47,52 €;54,18 €;26,68;-3,80%;-6,97%;-5,14%;-12,76%;-4,83%
VPG;Technology;Scientific & Technical Instruments;Bidback;Continuation;02.04.25;26,82 €;21,42 €;20,80 €;20,44 €;19,16 €;21,21 €;20,41 €;19,35 €;21,18 €;19,20 €;18,85 €;22,31 €;21,43 €;18,57 €;21,89 €;26,68;-20,13%;-23,79%;-23,90%;-28,41%;-20,10%
KR;Consumer Defensive;Grocery Stores;Bidback;Continuation;03.04.25;68,49 €;67,18 €;66,98 €;66,46 €;64,91 €;67,40 €;66,37 €;65,50 €;67,49 €;65,83 €;65,22 €;69,50 €;67,90 €;66,14 €;68,27 €;33,83;-1,91%;-2,96%;-3,10%;-3,88%;-0,86%
VTMX;Real Estate;General;Bidback;Bottom Bounce;03.04.25;23,79 €;23,26 €;23,05 €;21,90 €;21,69 €;22,93 €;21,81 €;21,78 €;23,02 €;23,06 €;21,30 €;23,28 €;22,49 €;22,25 €;23,15 €;33,83;-2,23%;-7,94%;-8,32%;-3,07%;-5,46%
NX;Basic;Building Materials;Bidback;Bottom Bounce;04.04.25;16,81 €;17,08 €;16,70 €;16,24 €;15,95 €;17,43 €;18,29 €;16,03 €;18,68 €;17,43 €;16,80 €;17,90 €;17,45 €;16,65 €;17,52 €;81,89;1,61%;-3,39%;8,80%;3,69%;3,81%
RKT;Financial;Specialty Finance;Bidback;Continuation;04.04.25;14,37 €;14,66 €;13,99 €;13,19 €;12,90 €;15,26 €;12,75 €;11,77 €;12,94 €;11,88 €;11,46 €;12,76 €;11,90 €;10,94 €;11,90 €;81,89;2,02%;-8,21%;-11,27%;-17,33%;-17,19%
SLP;Technology;Health Information Services;Bidback;Earning;04.04.25;24,86 €;24,83 €;23,75 €;24,25 €;24,03 €;25,89 €;25,55 €;23,27 €;26,27 €;25,74 €;23,12 €;27,18 €;32,65 €;27,43 €;33,59 €;81,89;-0,12%;-2,45%;2,78%;3,54%;31,34%
ACHR;Industrials;Aerospace & Defence;Bidback;Bottom Bounce;07.04.25;6,25 €;6,40 €;6,22 €;7,43 €;6,29 €;7,54 €;7,02 €;6,74 €;7,26 €;7,03 €;6,75 €;7,08 €;7,25 €;6,99 €;7,46 €;66,51;2,40%;18,88%;12,32%;12,48%;16,00%
DNA;Healthcare;Biotech;Bidback;Bottom Bounce;07.04.25;5,68 €;5,76 €;5,57 €;6,78 €;5,72 €;6,85 €;7,30 €;6,38 €;7,48 €;8,12 €;7,25 €;8,40 €;8,36 €;8,00 €;8,69 €;66,51;1,41%;19,37%;28,52%;42,96%;47,18%
GRAL;Healthcare;Diagnostics & Research;Bidback;Bottom Bounce;07.04.25;22,49 €;21,39 €;21,00 €;24,90 €;20,53 €;25,86 €;22,75 €;21,80 €;24,61 €;23,26 €;22,30 €;23,43 €;24,85 €;23,80 €;25,87 €;66,51;-4,89%;10,72%;1,16%;3,42%;10,49%
