Date,4% plus daily,4% down daily,25% plus quarter,25% down quarter,Primary Breadth Trend,10 day ratio,25% month,25 down month,34/13 diffrenence,MMA bull,MMA bear,50% up,50% down,,34/13 bull,34/13 bear,liquidity universe,,Total,100% plus year,200% plus year
1/16/09,241,155,2424,1480,Bullish,0.77,194,117,,,,12,7,Neutral,2507,1921,,,,330,44
1/15/09,446,266,2345,1644,Bullish,0.89,217,132,,,,19,7,Neutral,2396,2064,,,,308,39
1/14/09,44,1104,2234,1832,Bullish,0.83,265,58,,,,29,3,Bearish,2294,2312,,,,293,41
1/13/09,220,199,2613,1547,Bullish,1.16,310,52,,,,31,4,Bearish,2798,1642,,,,387,48
1/12/09,88,762,2577,1594,Bullish,1.17,337,39,,,,35,4,Bearish,2973,1710,,,6136,395,43
1/9/09,120,663,2785,1483,Bullish,1.65,321,45,,,,25,2,Bearish,3367,1094,,,,530,68
1/8/09,320,122,3017,1250,Bullish,2.62,,,,,,46,1,Bearish,,,,,,606,81
1/7/09,110,488,2973,1432,Bullish,2.62,331,40,,,,35,2,Bearish,3518,779,,,,530,74
1/6/09,907,106,3199,1425,Bullish,5.60,,,,,,143,1,Bearish,,,,,,555,
1/5/09,683,254,3042,1686,Bullish,4.50,,,,,,134,2,Bearish,,,,,,414,59
1/2/09,609,33,2979,1888,Bullish,18.45,,,,,,68,2,Bearish,,,,,6919,362,57
